"Dependent_Variable","ARDL_Specification","AIC","BIC","Intercept_Coeff","Intercept_SE","Intercept_tStat","Intercept_pValue","IPI_Japan_Coeff","IPI_Japan_SE","IPI_Japan_tStat","IPI_Japan_pValue","IPI_India_Coeff","IPI_India_SE","IPI_India_tStat","IPI_India_pValue","Bilateral_ExchRate_Coeff","Bilateral_ExchRate_SE","Bilateral_ExchRate_tStat","Bilateral_ExchRate_pValue","Cointegration_Status"
"iron_and_steel_wire__excluding_wire","ARDL(2,1,1,1)",826.2199,843.5966,40951.5322522257,31364.157901059,1.30567931654377,0.20069119179046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"iron_steel_castings_forgings_unwork","ARDL(2,1,1,1)",804.0259,821.4026,11783.1853867478,33047.6506447568,0.356551378293429,0.723697419807322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"lead","ARDL(2,2,2,2)",805.3408,827.9305,8082.57685157093,2295.52675792525,3.52101182165098,0.00139660702761294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"lime__cement_&_fabr__bldg_mat__Ex_g","Failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Tested"
"machinery_and_appliances_non_electr","ARDL(2,1,1,1)",1142.6025,1159.9792,155320.530832886,1281861.04336292,0.121167993705002,0.90429277538465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"machines_for_special_industries","ARDL(1,2,2,2)",1044.9236,1065.7757,-5811117.84809365,16175590.288671,-0.359252289677714,0.721841935198098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"made_up_articles__wholly_or_chiefly","ARDL(2,2,2,2)",507.9376,530.5273,357.790122152447,236.289002069853,1.51420556614258,0.140439352659244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"manuf__of_leather_or_of_artif__or_r","ARDL(2,1,1,1)",508.4045,525.7812,153.380471380642,308.471781737449,0.497226911702377,0.622325878080073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"manufactured_articles__n_e_s_","ARDL(1,2,2,2)",787.4248,808.2768,7936.91085602872,11901.9376843857,0.66685871380769,0.509795795785885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"manufactures_of_metal__n_e_s_","ARDL(2,2,2,2)",900.4703,923.06,-8423.90494429308,129909.850057592,-0.0648442357570157,0.948728196551699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"materials_of_rubber","ARDL(2,2,2,2)",958.5767,981.1664,64107.6685308707,28840.6843528309,2.22282064276253,0.0339101208741077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"medicinal_&_pharmaceutical_products","Failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Tested"
"metal_containers_for_storage_and_tr","ARDL(2,1,1,1)",728.8165,746.1932,4246.76675128878,8531.59984062758,0.497769097311108,0.621947756418307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"metalworking_machinery","ARDL(2,1,1,1)",1116.3012,1133.6779,-1525368.01374698,1314506.57010633,-1.16041109906631,0.25420782294813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"mineral_manufactures__n_e_s_","ARDL(2,1,1,1)",876.019,893.3957,78951.8358150549,110371.814853476,0.715326063269574,0.479438427148148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"miscell_non_ferrous_base_metals","ARDL(2,1,1,1)",800.0298,817.4065,-2932.04621365026,15603.6412110392,-0.187907820616633,0.852099614977106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"musical_instruments__sound_recorder","ARDL(2,1,1,1)",942.6554,960.0321,32502.2657365571,81069.5939253694,0.400918077454265,0.691064584742826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"nails__screws__nuts__bolts__rivets_","ARDL(2,1,1,1)",925.0099,942.3866,115179.372830567,123313.748949373,0.934035124322229,0.357070362880246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"natural_abrasives_incl__industrial_","ARDL(1,2,2,2)",523.8848,544.7368,-89.7979433597927,407.787684190673,-0.220207590472019,0.827153262878784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"nickel","ARDL(2,1,1,1)",919.8482,937.2248,113864.717181712,182079.566890903,0.625356920197073,0.53603782639386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"non_ferrous_metal_scrap","ARDL(2,1,1,1)",791.0037,808.3804,10103.5122877804,9720.95760147361,1.03935360095067,0.306195991879389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"office_and_stationery_supplies__n_e","ARDL(2,1,1,1)",780.2289,797.6056,2792.0722118753,21512.9821182848,0.129785456824333,0.897524049735961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"office_machines","ARDL(2,2,2,2)",1015.367,1037.9567,534308.41662736,402268.132523755,1.32823948363796,0.194115870521762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"ores_&_concentrates_of_non_ferrous_","Failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Tested"
"organic_chemicals","ARDL(2,1,1,1)",1077.5102,1094.8869,499158.438941516,651749.180632963,0.765875054045708,0.449194359470066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"other_crude_minerals","ARDL(2,1,1,1)",789.592,806.9687,1122.17169553814,19986.9069496418,0.0561453404654114,0.955564594592018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"other_electrical_machinery_and_appa","ARDL(1,2,2,2)",1089.3968,1110.2488,698052.355647327,535741.268143896,1.30296543715172,0.202182391007979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"other_fixed_vegetable_oils","ARDL(2,1,1,1)",780.6281,798.0048,4220.09125546002,5015.85385054435,0.841350522005745,0.406207287011259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"other_inorganic_chemicals","ARDL(2,1,1,1)",1069.3748,1086.7515,534116.014114667,250001.918161959,2.13644766424812,0.0401495335310578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"paper_and_paperboard","ARDL(2,1,1,1)",946.9107,964.2874,75775.4745644293,69990.3556047737,1.08265594466077,0.286808939943606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"pearls_and_precious_and_semi_precio","ARDL(2,1,1,1)",977.2753,994.652,92839.517820809,89653.5373936211,1.03553658360629,0.307947539320733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"perambulators__toys__games_and_spor","ARDL(2,1,1,1)",809.3675,826.7442,13573.44005757,7208.12741183416,1.88307438007899,0.0685299607025895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"photographic_and_cinematographic_su","ARDL(2,2,2,2)",898.7985,921.3882,-113638.617667923,65480.1536760773,-1.7354665694598,0.0929212713043885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"pig_iron__spiegeleisen__sponge_iron","ARDL(2,1,1,1)",926.196,943.5727,73745.0820591061,68096.9545496651,1.08294243915595,0.28668362327345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"pigments__paints__varnishes_&_relat","Failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Tested"
"plastic_materials__regenerd__cellul","ARDL(2,1,1,1)",1066.9061,1084.2828,176240060.771066,14351766417.0814,0.0122800257229177,0.99027614474625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"power_generating_machinery__other_t","ARDL(2,1,1,1)",1064.9627,1082.3394,60945.6529235667,511578.899754072,0.119132460218482,0.905892700255173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"printed_matter","ARDL(1,2,2,2)",867.2399,888.0919,-11825.5441077555,62464.5657171722,-0.189316038172735,0.851079217860636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"pulp_&_waste_paper","Failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Tested"
"road_motor_vehicles","ARDL(2,1,1,1)",1083.5596,1100.9363,232647.866670863,528148.856729696,0.440496772276325,0.662449457255244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"road_vehicles_other_than_motor_vehi","ARDL(2,1,1,1)",896.8734,914.2501,26582.7504790854,60833.6587949643,0.436974382367511,0.664976122809236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"sanitary__plumbing__heating_&_light","Failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Tested"
"scientific__medical__optical__meas_","ARDL(1,2,2,2)",1024.165,1045.017,45139.2953151005,260652.90354953,0.173177795836535,0.863637500330011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"ships_and_boats","ARDL(2,1,1,1)",1130.1919,1147.5686,112109.116144135,442102.608415909,0.253581666359834,0.801392013017548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"silk","ARDL(2,1,1,1)",702.3227,719.6994,-1590.32366104643,2182.4830182245,-0.728676304817345,0.471339569487512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"soaps__cleansing_&_polishing_prepar","Failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Tested"
"special_textile_fabrics_and_related","ARDL(2,1,1,1)",793.5446,810.9213,-736412.514596827,4703593.48543971,-0.156563809537631,0.876542551815189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"special_transactions_not_classd_acc","ARDL(2,1,1,1)",1116.4106,1133.7873,-635864.935135687,552249.733246022,-1.15140831557888,0.257838541245146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"sulphur_&_unroasted_iron_pyrites","Failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Tested"
"synth__organic_dyestuffs__natural_i","ARDL(2,1,1,1)",743.2884,760.6651,-8433.83576142668,10412.1495207411,-0.809999486141304,0.423743176666915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"synthetic_and_regenerated_artificia","ARDL(2,1,1,1)",856.2166,873.5933,88335.6420211537,38351.7048438047,2.30330417854745,0.0277015661608643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"telecommunications_apparatus","ARDL(2,1,1,1)",1023.8448,1041.2215,-524885.820825206,442089.729508532,-1.18728345353944,0.243592180410135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"text_fabrics_woven_ex_narrow__spec_","ARDL(1,2,2,2)",765.4863,786.3384,-24756.6098662184,11637.2581510141,-2.12735762539228,0.0414505798910984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"textile_and_leather_machinery","ARDL(2,2,2,2)",1041.3379,1063.9276,124190.97060994,219048.648238678,0.566956115038974,0.574961981543413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"textile_yarn_and_thread","ARDL(2,2,2,2)",895.2274,917.8171,44673.7747425859,72588.2375480853,0.615440961946378,0.542904619236265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"tin","ARDL(2,1,1,1)",734.4571,751.8338,140.264404373091,2274.43770745699,0.0616699256757921,0.951197694596119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"tools_for_use_in_the_hand_or_in_mac","ARDL(2,1,1,1)",945.2577,962.6344,-6453.01948135731,158711.044987132,-0.0406589187405356,0.967812813913132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"travel_goods__handbags_and_similar_","ARDL(2,1,1,1)",611.5447,628.9214,-196.291654827765,1040.06931158888,-0.188729397782055,0.851460809229323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"tubes__pipes_and_fittings_of_iron_o","ARDL(1,2,2,2)",1008.788,1029.64,40244.9703524209,205391.78535377,0.195942453507098,0.845934000279737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"tulle__lace__embroidery__ribbons__t","ARDL(1,2,2,2)",620.0699,640.9219,-4172.39041468634,2554.49276819044,-1.63335377834794,0.112511842932594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"universals__plates_and_sheets_of_ir","ARDL(2,1,1,1)",1084.5816,1101.9583,-58662.23930352,995446.555056883,-0.0589305764388002,0.953362826023014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"waste_materials_from_textile_fabric","ARDL(2,1,1,1)",740.7755,758.1522,7452.89682000775,4511.86954056128,1.65184226915404,0.10805223477381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"watches_and_clocks","ARDL(2,1,1,1)",793.1147,810.4914,8662.35263071353,6538.20196096886,1.32488300031495,0.194311445832114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"wire_products__ex_electric___&_fenc","Failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Tested"
"wood_manufactures__n_e_s_","ARDL(2,1,1,1)",659.5134,676.8901,1812.88271210641,1181.88706622119,1.5338882740317,0.134589692124608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"wool_and_other_animal_hair","ARDL(2,1,1,1)",562.2647,579.6413,356.564793847916,524.383040085371,0.679970110760764,0.501266038725671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
"zinc","ARDL(2,1,1,1)",885.9018,903.2785,20747.6196847201,99239.0521237525,0.209067088416438,0.835681090796278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Test Failed"
